"day","month","week","eventName","eventType","location","article","url"
"09","May","Tuesday","Security Token Summit 2023","Conference","New York, NY, USA","Security Token Summit 2023

Industries   Blockchain   Digital   Fintec   Startup   Regulation   ICOs  

Security Token Summit is a high-end, Security Token & Digital Securities focused event. It features a robust agenda spanning a variety of themes such as custody, compliance, regulation, investing, marketing, tokenization, standards, issuance, and real estate.

Produced by blockchain venture studio & fund Draper Goren Holm, a partnership between Tim Draper, Alon Goren, and Josef Holm, Security Token Summit is North America's preeminent digital assets conference that cannot be missed. Presented over one full day, featuring insightful fireside chats with the most accomplished, powerful, and astounding list of thought leaders, builders, active investors, funds, financial institutions, and family offices.

Speakers
Agenda","https://bravenewcoin.com/events/security-token-summit-2023"
"10","May","Wednesday","Digi-Tech Pharma & AI 2023","Conference","London, United Kingdom","Digi-Tech Pharma & AI 2023

Digital   Blockchain  

Digi-Tech Pharma and AI conference explore the novel technologies and developments reforming pharmaceutical industry, we also dive deep into the implementation and advances in machine learning, deep learning, artificial intelligence, informatics and data science which has redefined the development of new drugs.

The 6th Annual Digi-Tech Pharma & AI conference brings with it even more interactive sessions, expert speakers, senior professionals and decision makers from leading pharma, bio-tech and healthcare industry. Meet the decision makers, benchmark and learn from real-life use cases to drive organizational change and to understand the new cutting-edge technologies and practical solutions. In this 6th edition as we explore the novel technologies and developments reforming pharmaceutical industry, we also dive deep into the implementation and advances in machine learning, deep learning, artificial intelligence, informatics and data science which has redefined the development of new drugs, tackle diseases, improving healthcare and much more.

The enhancements in data management and data integration are providing improvements to both the speed and quality of drug discovery and many clinical trial processes. To be in the forefront, a necessity for partnership and collaboration with healthcare provider is a must for the pharmaceutical companies, and these partnerships will also lead to massive advances in R&D using artificial intelligence in genomics and precision medicine to develop a deep understanding of the root causes of diseases.

The combination of AI, big data and IoT technologies are creating new innovations, also other eminent technologies like cloud computing, augmented reality, virtual reality and blockchain are being used extensively in the Pharmaceutical industry’s digital transformation.

It gives us a great pleasure in welcoming you to our whole new pharmaceutical technology conference 6th Annual Digi-Tech Pharma & AI 2023.","https://bravenewcoin.com/events/digi-tech-pharma-and-ai-2023"
"12","May","Friday","BuildETH 2023","Conference","San Francisco, USA","BuildETH 2023

Blockchain   Startup   Other  

BuildETH 2023 is on Friday, May 12, 2023 in San Francisco. It is a one-day Ethereum developer conference for those interested in building, designing, scaling and securing decentralized applications and protocols.

The event will feature presentations, workshops, and expert sessions from some of the best creators, innovators, programmers, and industry experts in the space. Talks and discussions will cover everything from the basics on dapp development and the Ethereum ecosystem to smart contract security and performance, account abstraction, UX/UI, working in a multi-chain world, ZK proofs, decentralized storage, and more.

Join 200+ other Web3 developers for what promises to be one of the top blockchain developer conferences this spring.

REGISTER HERE: http://buildeth.io

Agenda","https://bravenewcoin.com/events/buildeth-2023"
"16","May","Tuesday","MARE BALTICUM Gaming & TECH Summit","Conference","Riga, Latvia","MARE BALTICUM Gaming & TECH Summit

Industries   Blockchain   Digital   Fintec   Startup   Regulation   Other  

The success of the MARE BALTICUM Gaming & TECH Summit is guaranteed based on the results we have seen in the past 6 years when connecting several industry stakeholders during our summits and meetups.

You are invited to join the Baltic region’s most important in-person gathering. The conference series has been launched in 2018 and has enjoyed yearly growth while continuously bringing innovation to the boutique-style events landscape.

The top decision-makers and business influencers are joining the key event of the Baltic & Nordic region during Springtime and be ready to gain access to a wealth of information while also enjoying some quality networking.

C-level executives, compliance experts, government officials who are active in the iGaming, eSports, Blockchain, Artificial Intelligence, Fintech, Virtual/Augmented/Mixed Reality, FashionTech, and many more are going to share their knowledge and are ready to meet you in Riga between 16-17 May.

Speakers
Agenda","https://bravenewcoin.com/events/mare-balticum-gaming-and-tech-summit"
"17","May","Wednesday","Bitcoin Builders Conference","Conference","Miami, United States","Bitcoin Builders Conference 15%

Blockchain  

The Bitcoin Builders Conference is the first-ever Bitcoin Layer 1 and Layer 2 event dedicated to Bitcoin innovation, including Bitcoin DeFi, payments, scaling, NFTs and ordinals, wallets, and more. This developer-focused conference will feature speakers from the Rootstock and Lightning communities, Stanford University, Casa, Luxor, Hiro, Sovryn, and more.

The event will feature panel discussions with technical leaders, insightful industry keynotes, and networking opportunities for developers and innovators. The conference will also include a hackathon and the opportunity to test drive the latest development tools for Bitcoin. For more information and tickets, visit www.bitcoinbuildersconf.com

Speakers
Agenda","https://bravenewcoin.com/events/bitcoin-builders-conference-2023"
"18","May","Thursday","Bitcoin 2023","Conference, Convention","Miami, FL, USA","Bitcoin 2023

Bitcoin  

The Largest Bitcoin Conference | Bitcoin 2023

We’re excited to welcome you back to Miami Beach for Bitcoin 2023! Join us for the world’s largest gathering of bitcoiners as we celebrate another year of progress towards hyperbitcoinization. Consider bringing a friend for 3 days of bitcoin education, announcements and of course, a massive part...

Speakers","https://bravenewcoin.com/events/bitcoin-2023"
"19","May","Friday","The Web3.Conference","Conference","Amsterdam, Netherlands","The Web3.Conference

Blockchain  

The Web3.Conference is the right event to guide you through and around the Web3 world. Explore, learn, network - get insights about all trends and use cases of the new Internet era and its latest developments. With a lineup of famous speakers, industry-best leaders, marketers, developers, investors, and entrepreneurs, this conference promises to be a day full of insightful talks and networking.

The Web3.Conference key topics include:

How Web3 projects will change the way we used to live
Web3 infrastructure: Building Decentralized Autonomous Organizations
Web3 use-cases of NFTs for business
Will Web3 make or break social media?
The role of Metaverse & Gaming in the new Web3 reality
How to invest in Web3 And even more!

Web3 is a hot topic today because it represents the next generation of the Internet, where decentralization, privacy, and user empowerment are at the forefront of development. Web3 represents a significant shift in the way we think about and use the Internet, and its potential for innovation and disruption has captured the attention of investors, developers, and entrepreneurs.

TheWeb3.Conference opens its doors on May 19 in the vibrant city of Amsterdam, which is rich not only in culture, has numerous museums, galleries, and theaters but also is a capital of cool, state-of-the-art events! But that’s not all! During that time you can experience amazing side events and… Unforgettable afterparty just for the guests of TheWeb3.Conference!

Web3 builders, investors, marketers, creators, developers, CEOs, and numerous NFT projects will be there to share their knowledge and get unique opportunities for further growth. This event will definitely be filled with much more than just networking: it will leave visitors feeling inspired and motivated, surrounding you with individuals and companies who share your passion for Web3 and all the innovations around.

Speakers","https://bravenewcoin.com/events/the-web3-conference-2023"
"24","May","Wednesday","Next Block Expo Warsaw Summit 2023","Conference","Warsaw, Poland","Next Block Expo Warsaw Summit 2023

Blockchain   Startup   Regulation   Other  

The second edition of the Next Block Expo event with a few thousand attendees will be held at the Multikino Złote Tarasy Warsaw venue on 24 and 25 of May, linking the most influential people and projects in the web3 space. With presentations and keynotes at the main stage, roundtables and workshops, NBX is an excellent opportunity for startups and already established blockchain companies to discuss current challenges and new opportunities.

The second edition of the Next Block Expo event with a few thousand attendees will be held at the Multikino Złote Tarasy Warsaw venue on 24 and 25 of May, linking the most influential people and projects in the web3 space. With presentations and keynotes at the main stage, roundtables and workshops, NBX is an excellent opportunity for startups and already established blockchain companies to discuss current challenges and new opportunities.

With a dedicated mobile app to link people, projects and investors, Next Block Expo's ambition is to become the most promising networking opportunity for the european blockchain community.

Event brings together industry leaders and experts to discuss the latest developments and trends in the fields of: DeFi, Metaverse, NFT, Gaming, Privacy, Scaling, Exchanges, Venture Capital, Fundraising, Legal/ Tax, Payments, and Security.

All Next Block Expo attendees will get access to a smart-networking app dedicated to the event where they can: ● Find a list of attendees that fit their needs based on match-making algorithm ● Chat & schedule 1:1 meetings with other conference participants ● Find key information about the event, speakers and startups ● Create own, personal agenda for the conference by picking relevant sessions ● Learn about promos, special offers and side events prepared by companies attending NBX and partners.

One of the unique events planned is NBX Pitch Arena - inclusive dedicated stage where startups from all sectors, project stages & countries are welcomed.

For more information, check out the website https://nextblockexpo.com/ and follow NBX on social media: https://twitter.com/nextblockexpo/ https://www.instagram.com/nextblockexpo/ https://www.linkedin.com/company/next-block-expo/

Resources for participants, sponsors and exhibitors: https://linktr.ee/nextblockexpo/

Press contact: media@nextblockexpo.com","https://bravenewcoin.com/events/next-block-expo-warsaw-summit-2023"
"27","May","Saturday","WIKI Finance Expo","Meetup, Conference","Singapore, Singapore","WIKI Finance Expo

Blockchain  

WikiEXPO is the world's largest forex exhibition platform, gathering worldwide leaders and elites in forex, blackchin, cryptos, and other financial industries.

WIKIBIT Finance Expo is a unique opportunity for blockchain professionals, investors, and enthusiasts to come together and exchange insights, ideas, and strategies on the latest trends and developments in the blockchain industry. Our event features keynote speakers, panel discussions, workshops, and networking opportunities, and we expect a large turnout of attendees from around the world.

Speakers
Agenda
Keynote","https://bravenewcoin.com/events/wiki-finance-expo-singapore-2023"
"31","May","Wednesday","London Blockchain Conference","Conference","London, United Kingdom","London Blockchain Conference

Blockchain  

NETWORK. ENGAGE. LEARN The world is ready for an electronic cash system to power a transaction-based data economy, and at the London Blockchain Conference we will demonstrate this with insightful and engaging panels, presentations and keynotes. Connect and network with the brightest minds, most innovative technologies, and businesses working to transform industries and build the new internet of value.

The world is ready for an electronic cash system to power a transaction-based data economy, and at the London Blockchain Conference we will demonstrate this with insightful and engaging panels, presentations and keynotes. Connect and network with the brightest minds, most innovative technologies, and businesses working to transform industries and build the new internet of value.

Join us at the Queen Elizabeth II Centre, 31st May - 2nd June 2023 to learn how we can bring the world of enterprise and blockchain together.

Speakers
Agenda","https://bravenewcoin.com/events/london-blockchain-conference-2023"
